video_id,channel_title,channel_id,video_publish_date,video_title,video_view_count,video_like_count,video_dislike_count,video_comment_count
xrjIFr8-MS8,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-02-23T02:18:12.000Z,Eyewitness: CNN Was Staging Questions,35707,1512.0,82.0,612.0
yfBtJa6ZpzI,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-02-22T20:25:35.000Z,SHOCK VIDEO: CNN Caught In Voter Intimidation/Suppression,19445,934.0,16.0,328.0
FzSbdhczous,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-02-22T01:33:17.000Z,"Full Show - MSM Launches All Out Attack On Infowars For Questioning Parkland, FL Shooting Narrative",26951,930.0,97.0,312.0
znCS96BXb94,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-02-21T22:44:22.000Z,MSM Coverage Of Florida Shooting Is Completely One-Sided,20046,523.0,78.0,284.0
8Fsm5CZ2Hp8,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-02-21T22:09:29.000Z,Jim Hoft Demonized For Daring To Question MSM Narrative,5202,248.0,17.0,72.0
pO1VhuAUpW4,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-02-20T19:20:55.000Z,CNN Wants To Give 16-Year-Olds The Vote,8685,393.0,23.0,450.0
UDpHq8rtHdw,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-02-20T13:30:00.000Z,Prepare For Big Anti-Gun Propaganda Push,18526,1268.0,25.0,642.0
lL-dHBjpDP8,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-02-19T06:44:50.000Z,Pro-Gun Online Speech Is Now Russian Propaganda: 2/18/18 Full Show,12418,367.0,22.0,320.0
1yfHeGXa-SM,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-02-19T02:05:39.000Z,"Dems Call For Banning Pro-Gun Speech, Claim It’s Russian Propaganda",21497,1090.0,24.0,403.0
MC52wBsZgTs,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-02-16T22:26:00.000Z,Phil Mudd Wins An Oscar For His CNN Performance,9175,586.0,22.0,231.0
3msVLJUmcEs,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-02-15T03:27:45.000Z,CNN Caught Paying To Be Aired At Airports,22749,1306.0,27.0,317.0
bFunHQaoXFU,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-02-14T18:30:16.000Z,"BREAKING: CNN Pays Viewers To Watch, How Much Would You Need To Be Paid?",16292,811.0,19.0,345.0
kZesP5cE5L4,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-02-12T22:20:52.000Z,CNN Stands With North Korean Concentration Camps,8957,305.0,27.0,129.0
4KV4BDUprt4,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-02-12T07:41:37.000Z,CNN CAUGHT PROMOTING DICTATOR'S SISTER AT WINTER OLYMPICS! 2/11/18 FULL SHOW,18004,539.0,48.0,236.0
-cp_5lsRbGc,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-02-12T04:14:54.000Z,CNN Celebrates Communist Death Camps And Slavery,14760,619.0,26.0,205.0
Gp8yqRXpG2k,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-02-12T02:00:00.000Z,"CNN CELEBRATES NORTH KOREAN DICTATOR'S SISTER, ATTACKS TRUMP",21812,1170.0,39.0,256.0
Sj2I0ZbQX1A,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-02-11T04:55:57.000Z,CNN Praises Dictator's Sister At Olympics,42643,1994.0,82.0,496.0
nLQ2eSuJN0U,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-02-07T22:26:55.000Z,MSM Demonizes Trump For Honoring US Military,11208,382.0,41.0,221.0
ZD7wOq8WSuw,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-02-05T18:48:07.000Z,MSM Gaslights America's Take On The FISA Memo,7763,266.0,3.0,35.0
zV36nnkMbmU,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-02-04T00:25:04.000Z,"BREAKING! CNN Analyst Threatens Trump, Says FBI Will Get Revenge",136882,8292.0,187.0,1749.0
7S38JyrdQcs,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-02-03T00:45:57.000Z,Full Show - BOMBSHELL SHOW! FISA Memo Released / MSM And Democrats In Full Panic Mode!,39415,989.0,35.0,253.0
4iMEnKR5_00,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-02-02T21:13:11.000Z,"Steele Dossier Is Paid Propaganda, Total Subversion, And Treason Against America",7469,335.0,6.0,78.0
DHc3pVnP-bY,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-02-02T00:47:50.000Z,Former Infowars Director Gets PTSD For Working In Mainstream Media,12919,380.0,21.0,83.0
yZ6AHNomZCg,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-02-01T00:44:53.000Z,Trump's Call For Unity Is Racist… According To The MSM,6341,291.0,13.0,166.0
qlDQhtYyARY,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-01-31T19:27:27.000Z,Trump’s Biggest Troll Yet!  Tricking MSM to Defend MS 13,54282,1933.0,40.0,594.0
G3ZTCbLlSgM,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-01-31T17:42:48.000Z,MSNBC Host Joy Reid Triggered By Trump Using Word Family,17768,674.0,20.0,206.0
EV7BHCjlUoM,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-01-31T00:23:25.000Z,CNN Admits The Memo Is Devastating,55563,2058.0,30.0,322.0
61whYYioxPI,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-01-30T18:54:34.000Z,Panicked MSNBC Says Chairman Devin Nunes Must Be A “Russian Agent”,17767,644.0,7.0,214.0
yxh0evVmYlQ,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-01-30T01:00:01.000Z,Mueller Desperation Drives MSM To Double Down On Fake News,13872,439.0,12.0,57.0
lwTyravMf9E,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-01-26T21:57:34.000Z,CNN Promotes Cuck Worship,25307,1150.0,35.0,302.0
KxeYhq4sx00,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-01-26T19:29:05.000Z,"SHOCK VIDEO: The Islamic Caliphate Has Relaunched The African Slave Trade, But CNN Won’t Tell You",22559,810.0,28.0,217.0
